Area, MajorAxisLength, MinorAxisLength, Eccentricity, ConvexArea, FilledArea, EulerNumber, EquivDiameter, Solidity, Perimeter, Intensity, X, Y, IsTopEdge, IsBottomEdge, IsLeftEdge, IsRightEdge, IsNucleus, IsOverSeg, IsUnderSeg, 
406, 2.997108e+01, 1.755672e+01, 8.104638e-01, 430, 406, 1, 2.273621e+01, 9.441860e-01, 7.876955e+01, 1.644343e+00, 3.210468e+02, 9.352463e+01, 0, 0, 0, 0, 1, 0, 0, 
307, 3.097461e+01, 1.381018e+01, 8.951052e-01, 342, 307, 1, 1.977080e+01, 8.976608e-01, 8.891169e+01, 9.332723e-01, 3.238599e+02, 9.415375e+02, 0, 0, 0, 0, 1, 0, 0, 
773, 3.655275e+01, 2.733209e+01, 6.639875e-01, 799, 773, 1, 3.137219e+01, 9.674593e-01, 1.049117e+02, 5.490440e+00, 3.301734e+02, 7.218111e+02, 0, 0, 0, 0, 1, 0, 1, 
263, 2.624701e+01, 1.825582e+01, 7.184885e-01, 348, 263, 1, 1.829923e+01, 7.557471e-01, 1.046690e+02, 8.209659e-01, 3.299544e+02, 2.568441e+01, 0, 0, 0, 0, 1, 0, 0, 
485, 3.041275e+01, 2.036906e+01, 7.425831e-01, 494, 485, 1, 2.484997e+01, 9.817814e-01, 8.159798e+01, 2.725231e+00, 3.322021e+02, 1.392330e+02, 0, 0, 0, 0, 1, 0, 0, 
66, 1.457727e+01, 6.273467e+00, 9.026575e-01, 69, 66, 1, 9.166996e+00, 9.565217e-01, 3.414214e+01, 2.612039e-01, 3.308788e+02, 1.022045e+03, 0, 1, 0, 0, 1, 0, 0, 
343, 2.313205e+01, 1.894342e+01, 5.739005e-01, 349, 343, 1, 2.089787e+01, 9.828080e-01, 6.652691e+01, 2.206104e+00, 3.398105e+02, 1.108805e+02, 0, 0, 0, 0, 1, 0, 0, 
345, 2.891984e+01, 1.533397e+01, 8.478580e-01, 360, 345, 1, 2.095871e+01, 9.583333e-01, 7.276955e+01, 9.342031e-01, 3.473884e+02, 9.352377e+02, 0, 0, 0, 0, 1, 0, 0, 
417, 3.252713e+01, 1.638674e+01, 8.638280e-01, 426, 417, 1, 2.304215e+01, 9.788732e-01, 7.994113e+01, 2.201160e+00, 3.552182e+02, 1.765683e+02, 0, 0, 0, 0, 1, 0, 0, 
306, 2.100129e+01, 1.867206e+01, 4.577303e-01, 315, 306, 1, 1.973857e+01, 9.714286e-01, 6.335534e+01, 1.080522e+00, 3.624771e+02, 8.560327e+02, 0, 0, 0, 0, 1, 0, 0, 
350, 2.594860e+01, 1.746660e+01, 7.395306e-01, 364, 350, 1, 2.111004e+01, 9.615385e-01, 7.052691e+01, 1.114855e+00, 3.645114e+02, 8.484857e+01, 0, 0, 0, 0, 1, 0, 0, 
442, 2.596216e+01, 2.174034e+01, 5.466124e-01, 454, 442, 1, 2.372281e+01, 9.735683e-01, 7.676955e+01, 2.801144e+00, 3.668643e+02, 1.001812e+03, 0, 0, 0, 0, 1, 0, 0, 
